Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,1.600000,1.610000,1.510000,1.540000,1.540000,8044100
2020-08-14,1.530000,1.580000,1.510000,1.550000,1.550000,4744600
2020-08-17,1.530000,1.550000,1.480000,1.490000,1.490000,8763700
2020-08-18,1.500000,1.510000,1.480000,1.490000,1.490000,4752900
2020-08-19,1.480000,1.510000,1.460000,1.460000,1.460000,5583300
2020-08-20,1.460000,1.490000,1.440000,1.470000,1.470000,6094800
2020-08-21,1.450000,1.480000,1.440000,1.470000,1.470000,5257000
2020-08-24,1.460000,1.520000,1.420000,1.460000,1.460000,7867100
2020-08-25,1.480000,1.500000,1.420000,1.430000,1.430000,6514200
2020-08-26,1.440000,1.470000,1.420000,1.450000,1.450000,6719700
2020-08-27,1.450000,1.580000,1.420000,1.450000,1.450000,13998100
2020-08-28,1.450000,1.540000,1.450000,1.510000,1.510000,9478400
2020-08-31,1.470000,1.500000,1.450000,1.460000,1.460000,6354100
2020-09-01,1.460000,1.480000,1.420000,1.430000,1.430000,6534100
2020-09-02,1.430000,1.470000,1.410000,1.460000,1.460000,6223900
2020-09-03,1.450000,1.500000,1.400000,1.410000,1.410000,8988800
2020-09-04,1.370000,1.450000,1.330000,1.440000,1.440000,9983000
2020-09-08,1.430000,1.490000,1.390000,1.440000,1.440000,5919500
2020-09-09,1.440000,1.440000,1.390000,1.410000,1.410000,4404900
2020-09-10,1.430000,1.480000,1.390000,1.400000,1.400000,6155900
2020-09-11,1.400000,1.420000,1.330000,1.360000,1.360000,6984900
2020-09-14,1.370000,1.390000,1.350000,1.360000,1.360000,5395200
2020-09-15,1.360000,1.380000,1.320000,1.330000,1.330000,6089200
2020-09-16,1.330000,1.390000,1.320000,1.330000,1.330000,7056500
2020-09-17,1.330000,1.520000,1.330000,1.360000,1.360000,17832300
2020-09-18,1.420000,1.450000,1.280000,1.320000,1.320000,25486100
2020-09-21,1.290000,1.330000,1.220000,1.280000,1.280000,11226600
2020-09-22,1.340000,1.350000,1.260000,1.300000,1.300000,6326400
2020-09-23,1.290000,1.310000,1.240000,1.260000,1.260000,6445700
2020-09-24,1.260000,1.280000,1.180000,1.210000,1.210000,7410200
2020-09-25,1.210000,1.280000,1.210000,1.210000,1.210000,6229700
2020-09-28,1.230000,1.260000,1.210000,1.220000,1.220000,5080900
2020-09-29,1.230000,1.240000,1.120000,1.130000,1.130000,14473300
2020-09-30,1.140000,1.150000,1.040000,1.110000,1.110000,13917300
2020-10-01,1.100000,1.115000,1.060000,1.100000,1.100000,5683100
2020-10-02,1.040000,1.130000,1.010000,1.080000,1.080000,6984700
2020-10-05,1.070000,1.080000,1.030000,1.060000,1.060000,5660700
2020-10-06,1.060000,1.240000,1.040000,1.090000,1.090000,17700200
