Date,Open,High,Low,Close,Adj Close,Volume
2020-06-19,234.500000,242.250000,228.710007,231.289993,231.289993,12863200
2020-06-22,228.330002,238.259995,227.070007,236.059998,236.059998,6346100
2020-06-23,242.410004,257.230011,240.500000,241.759995,241.759995,8055100
2020-06-24,242.679993,247.606995,235.110001,242.860001,242.860001,4949700
2020-06-25,241.919998,268.299988,241.449997,267.470001,267.470001,8578300
2020-06-26,266.600006,271.709991,254.850006,264.950012,264.950012,6497100
2020-06-29,257.369995,270.989990,255.559998,265.140015,265.140015,4766700
2020-06-30,263.339996,265.779999,253.639999,258.190002,258.190002,3515200
2020-07-01,256.000000,261.089996,254.320007,258.899994,258.899994,3404200
2020-07-02,264.500000,274.299988,263.208008,271.489990,271.489990,4247000
2020-07-06,269.799988,272.670013,257.510010,260.260010,260.260010,5167600
2020-07-07,260.100006,267.750000,255.501007,261.989990,261.989990,2283600
2020-07-08,266.570007,277.614990,262.700012,269.260010,269.260010,3787800
2020-07-09,272.769989,279.760010,268.679993,274.790009,274.790009,2640400
2020-07-10,275.450012,278.929993,273.519989,278.239990,278.239990,1772300
2020-07-13,281.399994,285.399994,258.010010,261.190002,261.190002,2834600
2020-07-14,246.309998,262.899994,243.110001,262.799988,262.799988,3861300
2020-07-15,265.000000,265.720001,254.000000,258.500000,258.500000,1779400
2020-07-16,259.269989,272.350006,258.269989,268.679993,268.679993,2794400
2020-07-17,267.079987,269.040009,261.720001,263.230011,263.230011,1658000
2020-07-20,265.529999,292.760010,265.200012,291.190002,291.190002,4110500
2020-07-21,288.410004,289.813995,276.309998,276.380005,276.380005,2549100
2020-07-22,290.670013,299.670013,286.929993,289.619995,289.619995,5062900
2020-07-23,287.549988,288.989990,266.959991,267.540009,267.540009,2812900
2020-07-24,266.170013,270.815002,257.029999,268.739990,268.739990,2406600
2020-07-27,275.750000,275.750000,269.200012,272.500000,272.500000,1562100
2020-07-28,270.000000,275.850006,266.859985,267.119995,267.119995,1860900
2020-07-29,254.880005,268.584991,251.020004,262.209991,262.209991,3970600
2020-07-30,252.000000,264.320007,251.830002,261.790009,261.790009,2667400
2020-07-31,264.630005,265.075012,255.089996,257.820007,257.820007,1811700
2020-08-03,259.000000,259.799988,251.509995,254.429993,254.429993,1829800
2020-08-04,256.959991,259.191986,250.009995,250.020004,250.020004,1707200
